Dataset,Model,|BatchSize,Lr,N_past,Hidden_size,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TestLoss,Train_days,Num_frozen,Type
ROBOD,LSTM,256,0.15,10,32,888888,25,0.828125,0.3427,0.767505,0.492,0.441322528,0.712308634,0.398118428,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,999999999,24,0.830318,0.337,0.75956,0.4922,0.435945994,0.697520419,0.393150591,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,1111,21,0.829327,0.3392,0.789835,0.4279,0.427989324,0.745507675,0.40122508,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,22,22,0.828091,0.3409,0.789835,0.4275,0.428894553,0.745507675,0.402154651,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,333,23,0.826202,0.3433,0.790393,0.429,0.430612731,0.748912736,0.396907676,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,4444,25,0.828601,0.3402,0.789835,0.4254,0.427546686,0.745507675,0.395766653,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,5555,24,0.827437,0.3417,0.789835,0.4264,0.429291331,0.745507675,0.399257029,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,66666,22,0.82613,0.3432,0.790393,0.4296,0.430329607,0.748912736,0.41078196,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,77777,24,0.82613,0.3431,0.790393,0.4284,0.430317599,0.748912736,0.388051382,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,888888,25,0.824454,0.3476,0.794631,0.4305,0.434517324,0.758467157,0.398118428,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,999999999,23,0.828311,0.3402,0.789835,0.4273,0.428282585,0.745507675,0.396853752,3,2,Transfer
ROBOD,LSTM,256,0.15,10,32,1111,21,0.836629,0.3295,0.830247,0.366,0.390484366,0.774402821,0.436439095,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,22,14,0.836223,0.3302,0.830701,0.3655,0.392829471,0.775900138,0.441860496,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,333,16,0.835171,0.3322,0.833945,0.3649,0.394546219,0.782603048,0.437031925,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,4444,16,0.836223,0.3306,0.831817,0.3653,0.393900713,0.777793262,0.433191186,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,5555,18,0.834721,0.333,0.833945,0.3649,0.394418209,0.782603048,0.434734629,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,66666,18,0.836148,0.3313,0.832933,0.3654,0.393504667,0.779719664,0.433035544,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,77777,15,0.837531,0.3284,0.831363,0.3662,0.389393408,0.775592428,0.43519322,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,888888,17,0.836629,0.3299,0.83159,0.3658,0.391347323,0.776451882,0.430709893,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,999999999,14,0.834646,0.3327,0.834503,0.3646,0.39501801,0.785151009,0.436176817,4,2,Transfer
ROBOD,LSTM,256,0.15,10,32,1111,25,0.838672,0.3292,0.824896,0.3741,0.343789528,0.75447949,0.428627862,5,2,Transfer
ROBOD,LSTM,256,0.05,10,32,1111,15,0.74689,0.4337,0.857844,0.3518,0.392910938,0.824423494,0.178723012,5,0,Transfer
ROBOD,LSTM,256,0.05,10,32,22,6,0.676491,0.53,0.841555,0.3453,0.408992495,0.812741214,0.283311721,5,0,Transfer
ROBOD,LSTM,256,0.05,10,32,333,13,0.713306,0.5309,0.858835,0.3397,0.412652456,0.822588647,0.225614072,5,0,Transfer
ROBOD,LSTM,256,0.05,10,32,4444,8,0.709984,0.5041,0.854735,0.3487,0.404685308,0.820140022,0.222536968,5,0,Transfer
ROBOD,LSTM,256,0.05,10,32,5555,24,0.692688,0.543,0.851679,0.3678,0.39556808,0.821276141,0.189581746,5,0,Transfer
ROBOD,LSTM,256,0.05,10,32,66666,16,0.701849,0.5342,0.883832,0.3327,0.400018488,0.860886014,0.210400538,5,0,Transfer
