Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,Train_days,Num_frozen,Type
ECO,LSTM,512,0.05,10,32,22,7,0.574592,0.6624,0.725222,0.6467,0.629373688,0.767686916,0.663077045,9,0,No Transfer
ECO,LSTM,512,0.05,10,32,22,8,0.358214,0.7068,0.801604,0.6158,0.372821302,0.850405282,0.663112085,12,0,No Transfer
ECO,LSTM,512,0.05,10,32,22,10,0.600201,0.6352,0.593236,0.6133,0.639599971,0.633223725,0.616485313,15,0,No Transfer
ECO,LSTM,512,0.05,10,32,333,1,0.438606,0.6992,0.648885,0.6866,0.444068324,0.679182689,0.700923089,3,0,No Transfer
ECO,LSTM,512,0.05,10,32,333,8,0.568137,0.66,0.76374,0.6335,0.617653361,0.822049923,0.665378078,6,0,No Transfer
ECO,LSTM,512,0.05,10,32,333,10,0.623016,0.6402,0.628906,0.6385,0.676686192,0.652276362,0.648119729,9,0,No Transfer
ECO,LSTM,512,0.05,10,32,333,1,0.606468,0.6711,0.947985,0.6267,0.661590927,0.948560079,0.69677459,12,0,No Transfer
ECO,LSTM,512,0.05,10,32,333,10,0.564371,0.6493,0.662521,0.6144,0.606194578,0.726470113,0.642451398,15,0,No Transfer
ECO,LSTM,512,0.05,10,32,4444,1,0.451627,0.7008,0.93308,0.6565,0.464491894,0.93531605,0.692232063,3,0,No Transfer
ECO,LSTM,512,0.05,10,32,4444,1,0.668536,0.6788,0.933971,0.6479,0.700545966,0.936531693,0.693115775,6,0,No Transfer
ECO,LSTM,512,0.05,10,32,4444,1,0.584291,0.6849,0.932866,0.6541,0.632411549,0.935903977,0.693727549,9,0,No Transfer
ECO,LSTM,512,0.05,10,32,4444,10,0.652621,0.6466,0.636397,0.6198,0.699973152,0.682068504,0.636584454,12,0,No Transfer
ECO,LSTM,512,0.05,10,32,4444,10,0.478865,0.6528,0.582305,0.6007,0.497187922,0.612615069,0.647469223,15,0,No Transfer
ECO,LSTM,512,0.05,10,32,5555,1,0.725356,0.6592,0.93308,0.6436,0.753392424,0.93531605,0.689911667,3,0,No Transfer
ECO,LSTM,512,0.05,10,32,5555,7,0.468873,0.6922,0.502056,0.6553,0.474254818,0.544662754,0.668951201,6,0,No Transfer
ECO,LSTM,512,0.05,10,32,5555,10,0.558595,0.6527,0.576836,0.6484,0.611845504,0.613545366,0.655837181,9,0,No Transfer
ECO,LSTM,512,0.05,10,32,5555,9,0.421798,0.6796,0.801227,0.6192,0.450144395,0.846524364,0.655242223,12,0,No Transfer
ECO,LSTM,512,0.05,10,32,5555,9,0.605073,0.6193,0.645251,0.5629,0.645406607,0.702021332,0.569232201,15,0,No Transfer
ECO,LSTM,512,0.05,10,32,66666,10,0.707314,0.6531,0.643914,0.6585,0.733970748,0.690641201,0.657819218,3,0,No Transfer
ECO,LSTM,512,0.05,10,32,66666,7,0.608697,0.6687,0.655873,0.6668,0.635890087,0.711660606,0.680345603,6,0,No Transfer
ECO,LSTM,512,0.05,10,32,66666,10,0.707022,0.6317,0.728669,0.6224,0.738684214,0.764135333,0.640156748,9,0,No Transfer
ECO,LSTM,512,0.05,10,32,66666,10,0.536264,0.6812,0.640317,0.6617,0.585391346,0.682576866,0.665719752,12,0,No Transfer
ECO,LSTM,512,0.05,10,32,66666,9,0.643852,0.6169,0.669511,0.575,0.686319829,0.731450791,0.621030566,15,0,No Transfer
