Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,,,,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833212,0.3663,0.720683,0.6135,0.431015976,0.644479708,0.370357487,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.834271,0.3647,0.714685,0.6129,0.43007319,0.633559958,0.346025121,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833741,0.3658,0.720683,0.6134,0.431002766,0.644479708,0.376243723,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833212,0.3664,0.719902,0.6135,0.431096636,0.643794596,0.345276497,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.832207,0.3674,0.723292,0.6139,0.431343601,0.649299738,0.36269709,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.832682,0.367,0.721597,0.614,0.43099648,0.646571102,0.365949286,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833609,0.3656,0.720683,0.6128,0.430969759,0.644479708,0.357093037,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.831931,0.3676,0.724987,0.6141,0.431269267,0.65198173,0.338007785,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833675,0.365,0.71977,0.6126,0.430216769,0.642345155,0.3663835,1,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
